filename,path,modified,target
Aquaman_and_the_Lost_Kingdom_(2023)_Hindi_Dubbed_720p.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Aquaman_and_the_Lost_Kingdom_(2023)_Hindi_Dubbed_720p.lnk,2024-01-07T21:12:24.862084,C:\Users\Sahil\Downloads\Aquaman_and_the_Lost_Kingdom_(2023)_Hindi_Dubbed_720p.mp4
asdfgh.py.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\asdfgh.py.lnk,2025-05-17T19:58:16.666647,C:\Users\Sahil\AppData\Local\Programs\Python\Python313\asdfgh.py
asdfghjkl;.py.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\asdfghjkl;.py.lnk,2025-05-13T13:23:45.454191,C:\Users\Sahil\python37\asdfghjkl;.py
Assembly Sample.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Assembly Sample.lnk,2025-04-10T00:23:16.565471,C:\Program Files\Autodesk\AutoCAD 2026\Sample\ActiveX\ExtAttr\Assembly Sample.dwg
Assignment_1.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Assignment_1.lnk,2025-10-03T09:40:00.288588,C:\Users\Sahil\Downloads\OS\Assignment_1.pdf
audio.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\audio.lnk,2024-03-15T12:15:41.864706,C:\Users\Sahil\Downloads\audio.unknown
AutomaticDestinations,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations,2025-10-23T22:56:39.091949,
basic.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\basic.lnk,2025-10-23T18:21:54.030880,
BattlegroundsMobileIndia_Setup_exe (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\BattlegroundsMobileIndia_Setup_exe (2).lnk,2025-04-09T23:43:04.901985,C:\Users\Sahil\Downloads\BattlegroundsMobileIndia_Setup_exe.zip
BattlegroundsMobileIndia_Setup_exe.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\BattlegroundsMobileIndia_Setup_exe.lnk,2024-01-06T10:03:24.815743,C:\Users\Sahil\Downloads\BattlegroundsMobileIndia_Setup_exe.zip
BELH_0017.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\BELH_0017.lnk,2025-10-03T22:26:17.521165,C:\Users\Sahil\Downloads\ETHICS AND VALUE\BELH_0017.pdf
bin.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\bin.lnk,2025-06-28T21:41:15.938057,C:\Program Files (x86)\Hotspot Shield\12.10.2\bin
Blind.Spot.2025.720p.WEB-DL.x264.Tam.+.Mal.+.Tel.+.Kan.+.Hin.ESub.Vegamovies.is.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Blind.Spot.2025.720p.WEB-DL.x264.Tam.+.Mal.+.Tel.+.Kan.+.Hin.ESub.Vegamovies.is.lnk,2025-07-15T15:38:44.596371,C:\Users\Sahil\Downloads\Blind.Spot.2025.720p.WEB-DL.x264.Tam.+.Mal.+.Tel.+.Kan.+.Hin.ESub.Vegamovies.is.mkv
"bstsrvscID65ca12074f3506df88bbd53eopenBS5[--cmd,launchApp,--package,com.bluestacks.quest, --source, bs_services_notification].lnk","C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\bstsrvscID65ca12074f3506df88bbd53eopenBS5[--cmd,launchApp,--package,com.bluestacks.quest, --source, bs_services_notification].lnk",2024-02-12T23:51:37.880759,
Burp-Suite-Pro (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Burp-Suite-Pro (2).lnk,2025-09-28T12:15:34.974664,C:\BurpSuite Pro\Burpsuite-Professional-main\Burp-Suite-Pro.vbs
Burp-Suite-Pro.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Burp-Suite-Pro.lnk,2025-08-26T15:28:49.184471,C:\BurpSuite Pro\Burpsuite-Professional-main\Burp-Suite-Pro.vbs
BurpSuite Pro.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\BurpSuite Pro.lnk,2025-08-26T13:36:17.144649,C:\BurpSuite Pro
Burpsuite-Professional-main (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Burpsuite-Professional-main (2).lnk,2025-08-26T15:28:49.318240,C:\BurpSuite Pro\Burpsuite-Professional-main
Burpsuite-Professional-main (3).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Burpsuite-Professional-main (3).lnk,2025-09-28T12:15:35.123389,C:\BurpSuite Pro\Burpsuite-Professional-main
Burpsuite-Professional-main.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Burpsuite-Professional-main.lnk,2025-08-26T13:14:11.840561,C:\Users\Sahil\Downloads\Burpsuite-Professional-main.zip
Business.Proposal.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Business.Proposal.lnk,2024-03-31T13:46:45.007594,D:\Business.Proposal
Business.Proposal.S01E01.2022.1080p.NF.WEB-DL.Vegamovies.NL.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Business.Proposal.S01E01.2022.1080p.NF.WEB-DL.Vegamovies.NL.lnk,2024-03-31T13:46:44.666760,D:\Business.Proposal\Business.Proposal.S01E01.2022.1080p.NF.WEB-DL.Vegamovies.NL.mkv
cadsheet8.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\cadsheet8.lnk,2025-04-24T12:02:39.187504,C:\Users\Sahil\Downloads\cadsheet8.dwg
Camera on 192.168.1.8.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Camera on 192.168.1.8.lnk,2024-03-24T19:35:25.647940,
Camera Roll (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Camera Roll (2).lnk,2025-04-09T23:46:48.712965,C:\Users\Sahil\OneDrive\Pictures\Camera Roll
Camera Roll.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Camera Roll.lnk,2023-12-26T11:07:55.358913,C:\Users\Sahil\OneDrive\Pictures\Camera Roll
Cert Sample[1].lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Cert Sample[1].lnk,2025-04-26T14:49:04.847299,C:\Users\Sahil\OneDrive\Documents\Cert Sample[1].docx
CERTIFICATE[1].lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\CERTIFICATE[1].lnk,2025-04-28T23:44:06.136401,C:\Users\Sahil\OneDrive\Documents\CERTIFICATE[1].docx
Cert_Sample[1][1].lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Cert_Sample[1][1].lnk,2025-04-26T15:51:54.464791,C:\Users\Sahil\OneDrive\Documents\Cert_Sample[1][1].docx
CO ALL.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\CO ALL.lnk,2025-09-30T07:30:26.433757,C:\Users\Sahil\Downloads\CO ALL
CO REPETING QUESTIONS.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\CO REPETING QUESTIONS.lnk,2025-11-09T11:52:53.086322,C:\Users\Sahil\OneDrive\Documents\CO REPETING QUESTIONS.docx
co.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\co.lnk,2025-09-29T11:08:09.673122,
Copy of Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(1)(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(1)(1).lnk,2025-06-21T20:28:00.591037,C:\Users\Sahil\OneDrive\Documents\Copy of Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(1)(1).xlsx
Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(1)(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(1)(1).lnk,2025-07-19T22:37:27.169083,C:\Users\Sahil\OneDrive\Documents\Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(1)(1).xlsx
Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(1).lnk,2025-06-20T21:01:36.374641,C:\Users\Sahil\OneDrive\Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(1).xlsx
Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(2)(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(2)(1).lnk,2025-09-30T08:49:48.327336,C:\Users\Sahil\OneDrive\Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(1)(1).xlsx
Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(3)(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of DAY_WISE_REPOTING_FORMET_SATURDAY(3)(1).lnk,2025-09-30T08:49:48.589962,
Copy of JNJEffectiveCoverageAnalysisReport_(2)(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of JNJEffectiveCoverageAnalysisReport_(2)(1).lnk,2024-02-06T19:23:03.530447,C:\Users\Sahil\OneDrive\Desktop\Copy of JNJEffectiveCoverageAnalysisReport_(23)(1).xlsx
Copy of JNJEffectiveCoverageAnalysisReport_(23)(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of JNJEffectiveCoverageAnalysisReport_(23)(1).lnk,2024-01-14T13:41:05.515150,C:\Users\Sahil\Desktop\Copy of JNJEffectiveCoverageAnalysisReport_(23)(1).xlsx
Copy of JNJEffectiveCoverageAnalysisReport_(3)(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of JNJEffectiveCoverageAnalysisReport_(3)(1).lnk,2024-03-13T19:47:45.096834,C:\Users\Sahil\OneDrive\Desktop\Copy of JNJEffectiveCoverageAnalysisReport_(23)(1).xlsx
Copy of RDSSM Daily Tracking(1).xls.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of RDSSM Daily Tracking(1).xls.lnk,2024-02-13T21:38:44.947233,
Copy of TL daily Reporting Jan'24(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of TL daily Reporting Jan'24(1).lnk,2024-01-10T23:48:43.472247,C:\Users\Sahil\OneDrive\Documents\Copy of TL daily Reporting Jan'24(1).xlsx
Copy of TL daily Reporting Jan'24(2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of TL daily Reporting Jan'24(2).lnk,2024-03-13T19:48:44.125769,C:\Users\Sahil\OneDrive\Documents\Copy of TL daily Reporting Jan'24(1).xlsx
Copy of TL_daily_Reporting_Jan'24(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of TL_daily_Reporting_Jan'24(1).lnk,2024-01-11T20:44:22.929938,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Network Shortcuts\Copy of TL_daily_Reporting_Jan'24(1).xlsx
Copy of TL_daily_Reporting_Jan'24(2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Copy of TL_daily_Reporting_Jan'24(2).lnk,2024-03-13T19:49:33.968557,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Network Shortcuts\Copy of TL_daily_Reporting_Jan'24(1).xlsx
css certificate.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\css certificate.lnk,2025-10-23T20:37:08.076013,C:\Users\Sahil\Downloads\css certificate.pdf
css certificate_page-0001.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\css certificate_page-0001.lnk,2025-10-23T20:38:07.377853,C:\Users\Sahil\Downloads\css certificate_page-0001.jpg
CS_Practical_File_23-24[1] (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\CS_Practical_File_23-24[1] (2).lnk,2024-02-11T19:10:30.868809,C:\Users\Sahil\OneDrive\Documents\CS_Practical_File_23-24[1].pdf
CS_Practical_File_23-24[1].pdf (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\CS_Practical_File_23-24[1].pdf (2).lnk,2024-02-11T19:11:52.313352,C:\Users\Sahil\Downloads\CS_Practical_File_23-24[1].pdf.pdf
CS_Practical_File_23-24[1].pdf.pdf.crdownload.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\CS_Practical_File_23-24[1].pdf.pdf.crdownload.lnk,2024-01-13T12:18:02.525249,C:\Users\Sahil\Downloads\CS_Practical_File_23-24[1].pdf.pdf.crdownload
CustomDestinations,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations,2025-11-11T11:24:14.706059,
Data Extraction and Multileaders Sample.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Data Extraction and Multileaders Sample.lnk,2025-04-10T00:23:16.732997,C:\Program Files\Autodesk\AutoCAD 2026\Sample\Mechanical Sample\Data Extraction and Multileaders Sample.dwg
DaVinci_Resolve_18.6.5_Windows (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\DaVinci_Resolve_18.6.5_Windows (2).lnk,2025-04-09T23:41:45.570074,C:\Users\Sahil\Downloads\DaVinci_Resolve_18.6.5_Windows.zip
DaVinci_Resolve_18.6.5_Windows.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\DaVinci_Resolve_18.6.5_Windows.lnk,2024-03-12T19:09:08.526620,C:\Users\Sahil\Downloads\DaVinci_Resolve_18.6.5_Windows.zip
DAY 1 (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\DAY 1 (2).lnk,2025-11-05T14:17:28.942736,C:\Users\Sahil\OneDrive\Desktop\HTML\DAY 1
DAY 1.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\DAY 1.lnk,2025-10-19T22:36:03.977365,C:\Users\Sahil\OneDrive\Desktop\HTML\DAY 1
DAY WISE REPOTING FORMET SATURDAY.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\DAY WISE REPOTING FORMET SATURDAY.lnk,2025-06-21T20:24:19.592549,C:\Users\Sahil\Downloads\DAY WISE REPOTING FORMET SATURDAY.xlsx
DAY_WISE_REPOTING_FORMET_SATURDAY(1).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\DAY_WISE_REPOTING_FORMET_SATURDAY(1).lnk,2025-07-09T20:39:23.657270,C:\Users\Sahil\OneDrive\Documents\DAY_WISE_REPOTING_FORMET_SATURDAY(1).xlsx
DCIM on 192.168.1.8.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\DCIM on 192.168.1.8.lnk,2024-03-24T19:35:25.636891,
desktop.ini,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\desktop.ini,2025-01-26T14:45:46.542263,
Desktop.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Desktop.lnk,2025-11-06T16:16:18.442489,C:\Users\Sahil\OneDrive\Desktop
digital-forensics-file-analyzer.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\digital-forensics-file-analyzer.lnk,2025-11-10T13:59:59.919504,C:\Users\Sahil\OneDrive\Desktop\digital-forensics-file-analyzer
DNA.2025.720p.WEB-DL.DUAL.DDP5.1.x264-Vegamovies.is.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\DNA.2025.720p.WEB-DL.DUAL.DDP5.1.x264-Vegamovies.is.lnk,2025-07-23T22:21:07.181376,C:\Users\Sahil\Downloads\DNA.2025.720p.WEB-DL.DUAL.DDP5.1.x264-Vegamovies.is.mkv
docx.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\docx.lnk,2025-11-09T11:52:53.179995,
download.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\download.lnk,2025-10-13T22:52:40.529138,C:\Users\Sahil\Downloads\download.mp4
Downloads (10).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Downloads (10).lnk,2025-11-10T08:39:26.944291,C:\Users\Sahil\Downloads
Downloads (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Downloads (2).lnk,2024-02-15T19:17:41.406117,C:\Users\Sahil\Downloads
Downloads (3).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Downloads (3).lnk,2024-03-05T19:18:27.378379,C:\Users\Sahil\Downloads
Downloads (4).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Downloads (4).lnk,2024-03-30T21:03:32.480985,C:\Users\Sahil\Downloads
Downloads (5).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Downloads (5).lnk,2025-04-26T22:04:41.798572,C:\Users\Sahil\Downloads
Downloads (6).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Downloads (6).lnk,2025-05-18T16:21:58.103231,C:\Users\Sahil\Downloads
Downloads (7).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Downloads (7).lnk,2025-08-12T23:33:50.489311,C:\Users\Sahil\Downloads
Downloads (8).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Downloads (8).lnk,2025-08-21T23:41:28.197669,C:\Users\Sahil\Downloads
Downloads (9).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Downloads (9).lnk,2025-08-27T09:44:35.652988,C:\Users\Sahil\Downloads
Downloads.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Downloads.lnk,2024-01-26T15:07:08.983679,C:\Users\Sahil\Downloads
Drawing1.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Drawing1.lnk,2025-04-17T13:48:56.792499,C:\Users\Sahil\OneDrive\Documents\Drawing1.dwg
ec448aac-afa6-460c-9166-d0503b5d6d4a (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\ec448aac-afa6-460c-9166-d0503b5d6d4a (2).lnk,2025-10-29T17:08:15.233380,C:\Users\Sahil\Downloads\ec448aac-afa6-460c-9166-d0503b5d6d4a.jpg
ec448aac-afa6-460c-9166-d0503b5d6d4a.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\ec448aac-afa6-460c-9166-d0503b5d6d4a.lnk,2025-10-27T23:30:30.602263,C:\Users\Sahil\Downloads\ec448aac-afa6-460c-9166-d0503b5d6d4a.png
ENGLISH.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\ENGLISH.lnk,2025-09-26T10:34:51.642623,C:\Users\Sahil\Downloads\ENGLISH
ETHICS AND VALUE.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\ETHICS AND VALUE.lnk,2025-10-05T19:38:30.350715,C:\Users\Sahil\Downloads\ETHICS AND VALUE
ethics and values 2022 23[1].lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\ethics and values 2022 23[1].lnk,2025-10-04T13:00:27.886867,C:\Users\Sahil\Downloads\ETHICS AND VALUE\ethics and values 2022 23[1].pdf
Ethics_Value_PYQ-Copy[1].lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Ethics_Value_PYQ-Copy[1].lnk,2025-10-04T10:45:40.453679,C:\Users\Sahil\Downloads\ETHICS AND VALUE\Ethics_Value_PYQ-Copy[1].pdf
exp.html.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\exp.html.lnk,2025-10-19T20:37:26.014662,C:\Users\Sahil\OneDrive\Desktop\HTML\experiments\exp.html.txt
experiments (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\experiments (2).lnk,2025-10-28T16:53:35.389247,C:\Users\Sahil\OneDrive\Desktop\HTML\DAY 1\experiments.html
experiments.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\experiments.lnk,2025-10-19T20:37:26.051346,C:\Users\Sahil\OneDrive\Desktop\HTML\experiments
file-metadata-analyzer (2).lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\file-metadata-analyzer (2).lnk,2025-11-10T16:53:56.820747,C:\Users\Sahil\OneDrive\Desktop\file-metadata-analyzer
file-metadata-analyzer.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\file-metadata-analyzer.lnk,2025-11-05T23:46:06.595788,C:\Users\Sahil\OneDrive\Desktop\file-metadata-analyzer
FIRST.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\FIRST.lnk,2025-11-05T14:17:28.897648,C:\Users\Sahil\OneDrive\Desktop\HTML\DAY 1\FIRST.html
Floor Plan Sample.lnk,C:\Users\Sahil\AppData\Roaming\Microsoft\Windows\Recent\Floor Plan Sample.lnk,2025-04-10T00:23:16.830691,C:\Program Files\Autodesk\AutoCAD 2026\Sample\Database Connectivity\Floor Plan Sample.dwg
